id,call_sign,category,vehicle_type,license_plate,status,specifications
550e8400-e29b-41d4-a716-446655440001,Foam Tender 1,UTAMA,FOAM_TENDER,BP 1001 XX,READY,"{""water_capacity"": 12500, ""foam_capacity"": 1500 ""pump_rate"": 6000}"
550e8400-e29b-41d4-a716-446655440002,Foam Tender 2,UTAMA,FOAM_TENDER,BP 1002 XX,READY,"{""water_capacity"": 10000, ""foam_capacity"": 1000, ""pump_rate"": 6000}"
550e8400-e29b-41d4-a716-446655440003,Foam Tender 3,UTAMA,FOAM_TENDER,BP 1003 XX,READY,"{""water_capacity"": 12000, ""foam_capacity"": 1200, ""pump_rate"": 8000}"
550e8400-e29b-41d4-a716-446655440004,Foam Tender 4,UTAMA,FOAM_TENDER,BP 1004 XX,MAINTENANCE,"{""water_capacity"": 12500, ""foam_capacity"": 1500, ""pump_rate"": 8000}"
550e8400-e29b-41d4-a716-446655440005,Foam Tender 5,UTAMA,FOAM_TENDER,BP 1005 XX,READY,"{""water_capacity"": 12500, ""foam_capacity"": 1500, ""pump_rate"": 8000}"
550e8400-e29b-41d4-a716-446655440006,Nurse Tender 1,UTAMA,NURSE_TENDER,BP 2001 XX,READY,"{""water_capacity"": 5000, ""water_pump"": true}"
550e8400-e29b-41d4-a716-446655440007,Nurse Tender 2,PENDUKUNG,NURSE_TENDER,BP 2002 XX,READY,"{""water_capacity"": 5000, ""water_pump"": true}"
550e8400-e29b-41d4-a716-446655440008,Ambulance 1,PENDUKUNG,AMBULANCE,BP 3001 XX,READY,"{""stretcher_count"": 1, ""oxygen_tanks"": 2, ""defibrillator"": true}"
550e8400-e29b-41d4-a716-446655440009,Ambulance 2,PENDUKUNG,AMBULANCE,BP 3002 XX,READY,"{""stretcher_count"": 1, ""oxygen_tanks"": 2, ""defibrillator"": true}"
550e8400-e29b-41d4-a716-446655440010,Utility,PENDUKUNG,UTILITY_CAR,BP 4001 XX,READY,"{""payload_capacity_kg"": 1500, ""crane"": false}"
550e8400-e29b-41d4-a716-446655440011,Fcp (Command Pos),PENDUKUNG,COMMAND_POST,BP 5001 XX,READY,"{""radio_channels"": 4, ""generator_kVA"": 5}"
550e8400-e29b-41d4-a716-446655440012,Commando Car,PENDUKUNG,COMMANDO_CAR,BP 6001 XX,OUT_OF_SERVICE,"{""4x4"": true, ""seating_capacity"": 4}"
