,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CHECKLIST PEMERIKSAAN APAR,,,,,,,,,,,,,,,,,,,,,,,,
,,BANDAR UDARA INTERNASIONAL HANG NADIM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lokasi :,,,,,,Masa Berlaku :,,,,,,,,,,,,No. APAR :,,,,,
,,ITEM CHECK,TAHUN :,,,,,,,,,,,,,,,,,,,,,,
,,,JAN,,PEB,,MAR,,APR,,MEI,,JUN,,JUL,,AGU,,SEP,,OKT,,NOP,,DES
,,Pressure Gauce,,,,,,,,,,,,,,,,,,,,,,,
,,Pin/Segel,,,,,,,,,,,,,,,,,,,,,,,
,,Selang,,,,,,,,,,,,,,,,,,,,,,,
,,Klem Selang,,,,,,,,,,,,,,,,,,,,,,,
,,Handle,,,,,,,,,,,,,,,,,,,,,,,
,,Kondisi Fisik,,,,,,,,,,,,,,,,,,,,,,,
,,Paraf & Tanggal,,,,,,,,,,,,,,,,,,,,,,,
